,lat,lng
319,6.875,126.875
320,7.125,117.125
321,7.125,117.375
322,7.125,117.625
323,7.125,117.875
324,7.125,118.125
325,7.125,118.375
326,7.125,118.625
327,7.125,118.875
328,7.125,119.125
329,7.125,119.375
330,7.125,119.625
331,7.125,119.875
332,7.125,120.125
333,7.125,120.375
334,7.125,120.625
335,7.125,120.875
336,7.125,121.125
337,7.125,121.375
338,7.125,121.625
339,7.125,121.875
340,7.125,122.125
341,7.125,122.375
342,7.125,122.625
343,7.125,122.875
344,7.125,123.125
345,7.125,123.375
346,7.125,123.625
347,7.125,123.875
348,7.125,124.125
349,7.125,124.375
350,7.125,124.625
351,7.125,124.875
352,7.125,125.125
353,7.125,125.375
354,7.125,125.625
355,7.125,125.875
356,7.125,126.125
357,7.125,126.375
358,7.125,126.625
359,7.125,126.875
360,7.375,117.125
361,7.375,117.375
362,7.375,117.625
363,7.375,117.875
364,7.375,118.125
365,7.375,118.375
366,7.375,118.625
367,7.375,118.875
368,7.375,119.125
369,7.375,119.375
370,7.375,119.625
371,7.375,119.875
372,7.375,120.125
373,7.375,120.375
374,7.375,120.625
375,7.375,120.875
376,7.375,121.125
377,7.375,121.375
378,7.375,121.625
379,7.375,121.875
380,7.375,122.125
381,7.375,122.375
382,7.375,122.625
383,7.375,122.875
384,7.375,123.125
385,7.375,123.375
386,7.375,123.625
387,7.375,123.875
388,7.375,124.125
389,7.375,124.375
390,7.375,124.625
391,7.375,124.875
392,7.375,125.125
393,7.375,125.375
394,7.375,125.625
395,7.375,125.875
396,7.375,126.125
397,7.375,126.375
398,7.375,126.625
399,7.375,126.875
400,7.625,117.125
401,7.625,117.375
402,7.625,117.625
403,7.625,117.875
404,7.625,118.125
405,7.625,118.375
406,7.625,118.625
407,7.625,118.875
408,7.625,119.125
409,7.625,119.375
410,7.625,119.625
411,7.625,119.875
412,7.625,120.125
413,7.625,120.375
414,7.625,120.625
415,7.625,120.875
416,7.625,121.125
417,7.625,121.375
418,7.625,121.625
419,7.625,121.875
420,7.625,122.125
421,7.625,122.375
422,7.625,122.625
423,7.625,122.875
424,7.625,123.125
425,7.625,123.375
426,7.625,123.625
427,7.625,123.875
428,7.625,124.125
429,7.625,124.375
430,7.625,124.625
431,7.625,124.875
432,7.625,125.125
433,7.625,125.375
434,7.625,125.625
435,7.625,125.875
436,7.625,126.125
437,7.625,126.375
438,7.625,126.625
439,7.625,126.875
440,7.875,117.125
441,7.875,117.375
442,7.875,117.625
443,7.875,117.875
444,7.875,118.125
445,7.875,118.375
446,7.875,118.625
447,7.875,118.875
448,7.875,119.125
449,7.875,119.375
450,7.875,119.625
451,7.875,119.875
452,7.875,120.125
453,7.875,120.375
454,7.875,120.625
455,7.875,120.875
456,7.875,121.125
457,7.875,121.375
458,7.875,121.625
459,7.875,121.875
460,7.875,122.125
461,7.875,122.375
462,7.875,122.625
463,7.875,122.875
464,7.875,123.125
465,7.875,123.375
466,7.875,123.625
467,7.875,123.875
468,7.875,124.125
469,7.875,124.375
470,7.875,124.625
471,7.875,124.875
472,7.875,125.125
473,7.875,125.375
474,7.875,125.625
475,7.875,125.875
476,7.875,126.125
477,7.875,126.375
478,7.875,126.625
479,7.875,126.875
480,8.125,117.125
481,8.125,117.375
482,8.125,117.625
483,8.125,117.875
484,8.125,118.125
485,8.125,118.375
486,8.125,118.625
487,8.125,118.875
488,8.125,119.125
489,8.125,119.375
490,8.125,119.625
491,8.125,119.875
492,8.125,120.125
493,8.125,120.375
494,8.125,120.625
495,8.125,120.875
496,8.125,121.125
497,8.125,121.375
498,8.125,121.625
499,8.125,121.875
500,8.125,122.125
501,8.125,122.375
502,8.125,122.625
503,8.125,122.875
504,8.125,123.125
505,8.125,123.375
506,8.125,123.625
507,8.125,123.875
508,8.125,124.125
509,8.125,124.375
510,8.125,124.625
511,8.125,124.875
512,8.125,125.125
513,8.125,125.375
514,8.125,125.625
515,8.125,125.875
516,8.125,126.125
517,8.125,126.375
518,8.125,126.625
519,8.125,126.875
520,8.375,117.125
521,8.375,117.375
522,8.375,117.625
523,8.375,117.875
524,8.375,118.125
525,8.375,118.375
526,8.375,118.625
527,8.375,118.875
528,8.375,119.125
529,8.375,119.375
530,8.375,119.625
531,8.375,119.875
532,8.375,120.125
533,8.375,120.375
534,8.375,120.625
535,8.375,120.875
536,8.375,121.125
537,8.375,121.375
538,8.375,121.625
539,8.375,121.875
540,8.375,122.125
541,8.375,122.375
542,8.375,122.625
543,8.375,122.875
544,8.375,123.125
545,8.375,123.375
546,8.375,123.625
547,8.375,123.875
548,8.375,124.125
549,8.375,124.375
550,8.375,124.625
551,8.375,124.875
552,8.375,125.125
553,8.375,125.375
554,8.375,125.625
555,8.375,125.875
556,8.375,126.125
557,8.375,126.375
558,8.375,126.625
559,8.375,126.875
560,8.625,117.125
561,8.625,117.375
562,8.625,117.625
563,8.625,117.875
564,8.625,118.125
565,8.625,118.375
566,8.625,118.625
567,8.625,118.875
568,8.625,119.125
569,8.625,119.375
570,8.625,119.625
571,8.625,119.875
572,8.625,120.125
573,8.625,120.375
574,8.625,120.625
575,8.625,120.875
576,8.625,121.125
577,8.625,121.375
578,8.625,121.625
579,8.625,121.875
580,8.625,122.125
581,8.625,122.375
582,8.625,122.625
583,8.625,122.875
584,8.625,123.125
585,8.625,123.375
586,8.625,123.625
587,8.625,123.875
588,8.625,124.125
589,8.625,124.375
590,8.625,124.625
591,8.625,124.875
592,8.625,125.125
593,8.625,125.375
594,8.625,125.625
595,8.625,125.875
596,8.625,126.125
597,8.625,126.375
598,8.625,126.625
599,8.625,126.875
600,8.875,117.125
601,8.875,117.375
602,8.875,117.625
603,8.875,117.875
604,8.875,118.125
605,8.875,118.375
606,8.875,118.625
607,8.875,118.875
608,8.875,119.125
609,8.875,119.375
610,8.875,119.625
611,8.875,119.875
612,8.875,120.125
613,8.875,120.375
614,8.875,120.625
615,8.875,120.875
616,8.875,121.125
617,8.875,121.375
618,8.875,121.625
619,8.875,121.875
620,8.875,122.125
621,8.875,122.375
622,8.875,122.625
623,8.875,122.875
624,8.875,123.125
625,8.875,123.375
626,8.875,123.625
627,8.875,123.875
628,8.875,124.125
629,8.875,124.375
630,8.875,124.625
631,8.875,124.875
632,8.875,125.125
633,8.875,125.375
634,8.875,125.625
635,8.875,125.875
636,8.875,126.125
637,8.875,126.375
638,8.875,126.625
639,8.875,126.875
640,9.125,117.125
641,9.125,117.375
642,9.125,117.625
643,9.125,117.875
644,9.125,118.125
645,9.125,118.375
646,9.125,118.625
647,9.125,118.875
648,9.125,119.125
649,9.125,119.375
650,9.125,119.625
651,9.125,119.875
652,9.125,120.125
653,9.125,120.375
654,9.125,120.625
655,9.125,120.875
656,9.125,121.125
657,9.125,121.375
658,9.125,121.625
659,9.125,121.875
660,9.125,122.125
661,9.125,122.375
662,9.125,122.625
663,9.125,122.875
664,9.125,123.125
665,9.125,123.375
666,9.125,123.625
667,9.125,123.875
668,9.125,124.125
669,9.125,124.375
670,9.125,124.625
671,9.125,124.875
672,9.125,125.125
673,9.125,125.375
674,9.125,125.625
675,9.125,125.875
676,9.125,126.125
677,9.125,126.375
678,9.125,126.625
679,9.125,126.875
680,9.375,117.125
681,9.375,117.375
682,9.375,117.625
683,9.375,117.875
684,9.375,118.125
685,9.375,118.375
686,9.375,118.625
687,9.375,118.875
688,9.375,119.125
689,9.375,119.375
690,9.375,119.625
691,9.375,119.875
692,9.375,120.125
693,9.375,120.375
694,9.375,120.625
695,9.375,120.875
696,9.375,121.125
697,9.375,121.375
698,9.375,121.625
699,9.375,121.875
700,9.375,122.125
701,9.375,122.375
702,9.375,122.625
703,9.375,122.875
704,9.375,123.125
705,9.375,123.375
706,9.375,123.625
707,9.375,123.875
708,9.375,124.125
709,9.375,124.375
710,9.375,124.625
711,9.375,124.875
712,9.375,125.125
713,9.375,125.375
714,9.375,125.625
715,9.375,125.875
716,9.375,126.125
717,9.375,126.375
718,9.375,126.625
719,9.375,126.875
720,9.625,117.125
721,9.625,117.375
722,9.625,117.625
723,9.625,117.875
724,9.625,118.125
725,9.625,118.375
726,9.625,118.625
727,9.625,118.875
728,9.625,119.125
729,9.625,119.375
730,9.625,119.625
731,9.625,119.875
732,9.625,120.125
733,9.625,120.375
734,9.625,120.625
735,9.625,120.875
736,9.625,121.125
737,9.625,121.375
738,9.625,121.625
739,9.625,121.875
740,9.625,122.125
741,9.625,122.375
742,9.625,122.625
743,9.625,122.875
744,9.625,123.125
745,9.625,123.375
746,9.625,123.625
747,9.625,123.875
748,9.625,124.125
749,9.625,124.375
750,9.625,124.625
751,9.625,124.875
752,9.625,125.125
753,9.625,125.375
754,9.625,125.625
755,9.625,125.875
756,9.625,126.125
757,9.625,126.375
758,9.625,126.625
759,9.625,126.875
760,9.875,117.125
761,9.875,117.375
762,9.875,117.625
763,9.875,117.875
764,9.875,118.125
765,9.875,118.375
766,9.875,118.625
767,9.875,118.875
768,9.875,119.125
769,9.875,119.375
770,9.875,119.625
771,9.875,119.875
772,9.875,120.125
773,9.875,120.375
774,9.875,120.625
775,9.875,120.875
776,9.875,121.125
777,9.875,121.375
778,9.875,121.625
779,9.875,121.875
780,9.875,122.125
781,9.875,122.375
782,9.875,122.625
783,9.875,122.875
784,9.875,123.125
785,9.875,123.375
786,9.875,123.625
787,9.875,123.875
788,9.875,124.125
789,9.875,124.375
790,9.875,124.625
791,9.875,124.875
792,9.875,125.125
793,9.875,125.375
794,9.875,125.625
795,9.875,125.875
796,9.875,126.125
797,9.875,126.375
798,9.875,126.625
799,9.875,126.875
800,10.125,117.125
801,10.125,117.375
802,10.125,117.625
803,10.125,117.875
804,10.125,118.125
805,10.125,118.375
806,10.125,118.625
807,10.125,118.875
808,10.125,119.125
809,10.125,119.375
810,10.125,119.625
811,10.125,119.875
812,10.125,120.125
813,10.125,120.375
814,10.125,120.625
815,10.125,120.875
816,10.125,121.125
817,10.125,121.375
818,10.125,121.625
819,10.125,121.875
820,10.125,122.125
821,10.125,122.375
822,10.125,122.625
823,10.125,122.875
824,10.125,123.125
825,10.125,123.375
826,10.125,123.625
827,10.125,123.875
828,10.125,124.125
829,10.125,124.375
830,10.125,124.625
831,10.125,124.875
832,10.125,125.125
833,10.125,125.375
834,10.125,125.625
835,10.125,125.875
836,10.125,126.125
837,10.125,126.375
838,10.125,126.625
839,10.125,126.875
840,10.375,117.125
841,10.375,117.375
842,10.375,117.625
843,10.375,117.875
844,10.375,118.125
845,10.375,118.375
846,10.375,118.625
847,10.375,118.875
848,10.375,119.125
849,10.375,119.375
850,10.375,119.625
851,10.375,119.875
852,10.375,120.125
853,10.375,120.375
854,10.375,120.625
855,10.375,120.875
856,10.375,121.125
857,10.375,121.375
858,10.375,121.625
859,10.375,121.875
860,10.375,122.125
861,10.375,122.375
862,10.375,122.625
863,10.375,122.875
864,10.375,123.125
865,10.375,123.375
866,10.375,123.625
867,10.375,123.875
868,10.375,124.125
869,10.375,124.375
870,10.375,124.625
871,10.375,124.875
872,10.375,125.125
873,10.375,125.375
874,10.375,125.625
875,10.375,125.875
876,10.375,126.125
877,10.375,126.375
878,10.375,126.625
879,10.375,126.875
880,10.625,117.125
881,10.625,117.375
882,10.625,117.625
883,10.625,117.875
884,10.625,118.125
885,10.625,118.375
886,10.625,118.625
887,10.625,118.875
888,10.625,119.125
889,10.625,119.375
890,10.625,119.625
891,10.625,119.875
892,10.625,120.125
893,10.625,120.375
894,10.625,120.625
895,10.625,120.875
896,10.625,121.125
897,10.625,121.375
898,10.625,121.625
899,10.625,121.875
900,10.625,122.125
901,10.625,122.375
902,10.625,122.625
903,10.625,122.875
904,10.625,123.125
905,10.625,123.375
906,10.625,123.625
907,10.625,123.875
908,10.625,124.125
909,10.625,124.375
910,10.625,124.625
911,10.625,124.875
912,10.625,125.125
913,10.625,125.375
914,10.625,125.625
915,10.625,125.875
916,10.625,126.125
917,10.625,126.375
918,10.625,126.625
919,10.625,126.875
920,10.875,117.125
921,10.875,117.375
922,10.875,117.625
923,10.875,117.875
924,10.875,118.125
925,10.875,118.375
926,10.875,118.625
927,10.875,118.875
928,10.875,119.125
929,10.875,119.375
930,10.875,119.625
931,10.875,119.875
932,10.875,120.125
933,10.875,120.375
934,10.875,120.625
935,10.875,120.875
936,10.875,121.125
937,10.875,121.375
938,10.875,121.625
939,10.875,121.875
940,10.875,122.125
941,10.875,122.375
942,10.875,122.625
943,10.875,122.875
944,10.875,123.125
945,10.875,123.375
946,10.875,123.625
947,10.875,123.875
948,10.875,124.125
949,10.875,124.375
950,10.875,124.625
951,10.875,124.875
952,10.875,125.125
953,10.875,125.375
954,10.875,125.625
955,10.875,125.875
956,10.875,126.125
957,10.875,126.375
958,10.875,126.625
959,10.875,126.875
960,11.125,117.125
961,11.125,117.375
962,11.125,117.625
963,11.125,117.875
964,11.125,118.125
965,11.125,118.375
966,11.125,118.625
967,11.125,118.875
968,11.125,119.125
969,11.125,119.375
970,11.125,119.625
971,11.125,119.875
972,11.125,120.125
973,11.125,120.375
974,11.125,120.625
975,11.125,120.875
976,11.125,121.125
977,11.125,121.375
978,11.125,121.625
979,11.125,121.875
980,11.125,122.125
981,11.125,122.375
982,11.125,122.625
983,11.125,122.875
984,11.125,123.125
985,11.125,123.375
986,11.125,123.625
987,11.125,123.875
988,11.125,124.125
989,11.125,124.375
990,11.125,124.625
991,11.125,124.875
992,11.125,125.125
993,11.125,125.375
994,11.125,125.625
995,11.125,125.875
996,11.125,126.125
997,11.125,126.375
998,11.125,126.625
999,11.125,126.875
1000,11.375,117.125
1001,11.375,117.375
1002,11.375,117.625
1003,11.375,117.875
1004,11.375,118.125
1005,11.375,118.375
1006,11.375,118.625
1007,11.375,118.875
1008,11.375,119.125
1009,11.375,119.375
1010,11.375,119.625
1011,11.375,119.875
1012,11.375,120.125
1013,11.375,120.375
1014,11.375,120.625
1015,11.375,120.875
1016,11.375,121.125
1017,11.375,121.375
1018,11.375,121.625
1019,11.375,121.875
1020,11.375,122.125
1021,11.375,122.375
1022,11.375,122.625
1023,11.375,122.875
1024,11.375,123.125
1025,11.375,123.375
1026,11.375,123.625
1027,11.375,123.875
1028,11.375,124.125
1029,11.375,124.375
1030,11.375,124.625
1031,11.375,124.875
1032,11.375,125.125
1033,11.375,125.375
1034,11.375,125.625
1035,11.375,125.875
1036,11.375,126.125
1037,11.375,126.375
1038,11.375,126.625
1039,11.375,126.875
1040,11.625,117.125
1041,11.625,117.375
1042,11.625,117.625
1043,11.625,117.875
1044,11.625,118.125
1045,11.625,118.375
1046,11.625,118.625
1047,11.625,118.875
1048,11.625,119.125
1049,11.625,119.375
1050,11.625,119.625
1051,11.625,119.875
1052,11.625,120.125
1053,11.625,120.375
1054,11.625,120.625
1055,11.625,120.875
1056,11.625,121.125
1057,11.625,121.375
1058,11.625,121.625
1059,11.625,121.875
1060,11.625,122.125
1061,11.625,122.375
1062,11.625,122.625
1063,11.625,122.875
1064,11.625,123.125
1065,11.625,123.375
1066,11.625,123.625
1067,11.625,123.875
1068,11.625,124.125
1069,11.625,124.375
1070,11.625,124.625
1071,11.625,124.875
1072,11.625,125.125
1073,11.625,125.375
1074,11.625,125.625
1075,11.625,125.875
1076,11.625,126.125
1077,11.625,126.375
1078,11.625,126.625
1079,11.625,126.875
1080,11.875,117.125
1081,11.875,117.375
1082,11.875,117.625
1083,11.875,117.875
1084,11.875,118.125
1085,11.875,118.375
1086,11.875,118.625
1087,11.875,118.875
1088,11.875,119.125
1089,11.875,119.375
1090,11.875,119.625
1091,11.875,119.875
1092,11.875,120.125
1093,11.875,120.375
1094,11.875,120.625
1095,11.875,120.875
1096,11.875,121.125
1097,11.875,121.375
1098,11.875,121.625
1099,11.875,121.875
1100,11.875,122.125
1101,11.875,122.375
1102,11.875,122.625
1103,11.875,122.875
1104,11.875,123.125
1105,11.875,123.375
1106,11.875,123.625
1107,11.875,123.875
1108,11.875,124.125
1109,11.875,124.375
1110,11.875,124.625
1111,11.875,124.875
1112,11.875,125.125
1113,11.875,125.375
1114,11.875,125.625
1115,11.875,125.875
1116,11.875,126.125
1117,11.875,126.375
1118,11.875,126.625
1119,11.875,126.875
1120,12.125,117.125
1121,12.125,117.375
1122,12.125,117.625
1123,12.125,117.875
1124,12.125,118.125
1125,12.125,118.375
1126,12.125,118.625
1127,12.125,118.875
1128,12.125,119.125
1129,12.125,119.375
1130,12.125,119.625
1131,12.125,119.875
1132,12.125,120.125
1133,12.125,120.375
1134,12.125,120.625
1135,12.125,120.875
1136,12.125,121.125
1137,12.125,121.375
1138,12.125,121.625
1139,12.125,121.875
1140,12.125,122.125
1141,12.125,122.375
1142,12.125,122.625
1143,12.125,122.875
1144,12.125,123.125
1145,12.125,123.375
1146,12.125,123.625
1147,12.125,123.875
1148,12.125,124.125
1149,12.125,124.375
1150,12.125,124.625
1151,12.125,124.875
1152,12.125,125.125
1153,12.125,125.375
1154,12.125,125.625
1155,12.125,125.875
1156,12.125,126.125
1157,12.125,126.375
1158,12.125,126.625
1159,12.125,126.875
1160,12.375,117.125
1161,12.375,117.375
1162,12.375,117.625
1163,12.375,117.875
1164,12.375,118.125
1165,12.375,118.375
1166,12.375,118.625
1167,12.375,118.875
1168,12.375,119.125
1169,12.375,119.375
1170,12.375,119.625
1171,12.375,119.875
1172,12.375,120.125
1173,12.375,120.375
1174,12.375,120.625
1175,12.375,120.875
1176,12.375,121.125
1177,12.375,121.375
1178,12.375,121.625
1179,12.375,121.875
1180,12.375,122.125
1181,12.375,122.375
1182,12.375,122.625
1183,12.375,122.875
1184,12.375,123.125
1185,12.375,123.375
1186,12.375,123.625
1187,12.375,123.875
1188,12.375,124.125
1189,12.375,124.375
1190,12.375,124.625
1191,12.375,124.875
1192,12.375,125.125
1193,12.375,125.375
1194,12.375,125.625
1195,12.375,125.875
1196,12.375,126.125
1197,12.375,126.375
1198,12.375,126.625
1199,12.375,126.875
1200,12.625,117.125
1201,12.625,117.375
1202,12.625,117.625
1203,12.625,117.875
1204,12.625,118.125
1205,12.625,118.375
1206,12.625,118.625
1207,12.625,118.875
1208,12.625,119.125
1209,12.625,119.375
1210,12.625,119.625
1211,12.625,119.875
1212,12.625,120.125
1213,12.625,120.375
1214,12.625,120.625
1215,12.625,120.875
1216,12.625,121.125
1217,12.625,121.375
1218,12.625,121.625
1219,12.625,121.875
1220,12.625,122.125
1221,12.625,122.375
1222,12.625,122.625
1223,12.625,122.875
1224,12.625,123.125
1225,12.625,123.375
1226,12.625,123.625
1227,12.625,123.875
1228,12.625,124.125
1229,12.625,124.375
1230,12.625,124.625
1231,12.625,124.875
1232,12.625,125.125
1233,12.625,125.375
1234,12.625,125.625
1235,12.625,125.875
1236,12.625,126.125
1237,12.625,126.375
1238,12.625,126.625
1239,12.625,126.875
1240,12.875,117.125
1241,12.875,117.375
1242,12.875,117.625
1243,12.875,117.875
1244,12.875,118.125
1245,12.875,118.375
1246,12.875,118.625
1247,12.875,118.875
1248,12.875,119.125
1249,12.875,119.375
1250,12.875,119.625
1251,12.875,119.875
1252,12.875,120.125
1253,12.875,120.375
1254,12.875,120.625
1255,12.875,120.875
1256,12.875,121.125
1257,12.875,121.375
1258,12.875,121.625
1259,12.875,121.875
1260,12.875,122.125
1261,12.875,122.375
1262,12.875,122.625
1263,12.875,122.875
1264,12.875,123.125
1265,12.875,123.375
1266,12.875,123.625
1267,12.875,123.875
1268,12.875,124.125
1269,12.875,124.375
1270,12.875,124.625
1271,12.875,124.875
1272,12.875,125.125
1273,12.875,125.375
1274,12.875,125.625
1275,12.875,125.875
1276,12.875,126.125
1277,12.875,126.375
1278,12.875,126.625
1279,12.875,126.875
1280,13.125,117.125
1281,13.125,117.375
1282,13.125,117.625
1283,13.125,117.875
1284,13.125,118.125
1285,13.125,118.375
1286,13.125,118.625
1287,13.125,118.875
1288,13.125,119.125
1289,13.125,119.375
1290,13.125,119.625
1291,13.125,119.875
1292,13.125,120.125
1293,13.125,120.375
1294,13.125,120.625
1295,13.125,120.875
1296,13.125,121.125
1297,13.125,121.375
1298,13.125,121.625
1299,13.125,121.875
1300,13.125,122.125
1301,13.125,122.375
1302,13.125,122.625
1303,13.125,122.875
1304,13.125,123.125
1305,13.125,123.375
1306,13.125,123.625
1307,13.125,123.875
1308,13.125,124.125
1309,13.125,124.375
1310,13.125,124.625
1311,13.125,124.875
1312,13.125,125.125
1313,13.125,125.375
1314,13.125,125.625
1315,13.125,125.875
1316,13.125,126.125
1317,13.125,126.375
1318,13.125,126.625
1319,13.125,126.875
1320,13.375,117.125
1321,13.375,117.375
1322,13.375,117.625
1323,13.375,117.875
1324,13.375,118.125
1325,13.375,118.375
1326,13.375,118.625
1327,13.375,118.875
1328,13.375,119.125
1329,13.375,119.375
1330,13.375,119.625
1331,13.375,119.875
1332,13.375,120.125
1333,13.375,120.375
1334,13.375,120.625
1335,13.375,120.875
1336,13.375,121.125
1337,13.375,121.375
1338,13.375,121.625
1339,13.375,121.875
1340,13.375,122.125
1341,13.375,122.375
1342,13.375,122.625
1343,13.375,122.875
1344,13.375,123.125
1345,13.375,123.375
1346,13.375,123.625
1347,13.375,123.875
1348,13.375,124.125
1349,13.375,124.375
1350,13.375,124.625
1351,13.375,124.875
1352,13.375,125.125
1353,13.375,125.375
1354,13.375,125.625
1355,13.375,125.875
1356,13.375,126.125
1357,13.375,126.375
1358,13.375,126.625
1359,13.375,126.875
1360,13.625,117.125
1361,13.625,117.375
