,lat,lng,x,y
227,11.625,125.625,26,34
228,11.875,122.125,27,20
229,11.875,122.375,27,21
230,11.875,122.625,27,22
231,11.875,124.375,27,29
232,11.875,124.625,27,30
233,11.875,125.625,27,34
234,12.125,120.875,28,15
235,12.125,121.125,28,16
236,12.125,121.375,28,17
237,12.125,121.625,28,18
238,12.125,123.125,28,24
239,12.125,123.375,28,25
240,12.125,123.625,28,26
241,12.125,123.875,28,27
242,12.125,124.375,28,29
243,12.125,125.625,28,34
244,12.375,120.875,29,15
245,12.375,121.625,29,18
246,12.375,123.125,29,24
247,12.375,123.875,29,27
248,12.375,124.375,29,29
249,12.375,125.375,29,33
250,12.375,125.625,29,34
251,12.625,120.625,30,14
252,12.625,120.875,30,15
253,12.625,121.625,30,18
254,12.625,123.125,30,24
255,12.625,123.375,30,25
256,12.625,123.625,30,26
257,12.625,123.875,30,27
258,12.625,124.125,30,28
259,12.625,124.375,30,29
260,12.625,124.625,30,30
261,12.625,124.875,30,31
262,12.625,125.125,30,32
263,12.625,125.375,30,33
264,12.875,120.625,31,14
265,12.875,121.625,31,18
266,12.875,123.125,31,24
267,12.875,123.375,31,25
268,12.875,123.625,31,26
269,12.875,124.125,31,28
270,13.125,120.375,32,13
271,13.125,120.625,32,14
272,13.125,121.625,32,18
273,13.125,123.125,32,24
274,13.125,124.125,32,28
275,13.375,120.375,33,13
276,13.375,121.375,33,17
277,13.375,121.625,33,18
278,13.375,122.875,33,23
279,13.375,123.125,33,24
280,13.375,123.875,33,27
281,13.375,124.125,33,28
282,13.625,120.375,34,13
283,13.625,120.625,34,14
284,13.625,120.875,34,15
285,13.625,121.125,34,16
286,13.625,121.375,34,17
287,13.625,121.625,34,18
288,13.625,121.875,34,19
289,13.625,122.125,34,20
290,13.625,122.375,34,21
291,13.625,122.625,34,22
292,13.625,122.875,34,23
293,13.625,123.625,34,26
294,13.625,123.875,34,27
295,13.875,120.625,35,14
296,13.875,120.875,35,15
297,13.875,121.625,35,18
298,13.875,121.875,35,19
299,13.875,122.625,35,22
300,13.875,123.125,35,24
301,13.875,123.875,35,27
302,14.125,120.625,36,14
303,14.125,121.875,36,19
304,14.125,122.125,36,20
305,14.125,123.125,36,24
306,14.125,123.375,36,25
307,14.125,123.625,36,26
308,14.125,123.875,36,27
309,14.375,120.625,37,14
310,14.375,120.875,37,15
311,14.375,121.875,37,19
312,14.375,122.125,37,20
313,14.375,122.375,37,21
314,14.375,122.625,37,22
315,14.375,122.875,37,23
316,14.375,123.125,37,24
317,14.625,120.125,38,12
318,14.625,120.375,38,13
319,14.625,120.625,38,14
320,14.625,120.875,38,15
321,14.625,121.625,38,18
322,14.625,121.875,38,19
323,14.875,119.875,39,11
324,14.875,120.125,39,12
325,14.875,121.625,39,18
326,15.125,119.875,40,11
327,15.125,121.625,40,18
328,15.375,119.875,41,11
329,15.375,121.625,41,18
330,15.625,119.875,42,11
331,15.625,121.625,42,18
332,15.875,119.875,43,11
333,15.875,121.625,43,18
334,15.875,121.875,43,19
335,16.125,119.875,44,11
336,16.125,120.125,44,12
337,16.125,120.375,44,13
338,16.125,121.875,44,19
339,16.125,122.125,44,20
340,16.125,122.375,44,21
341,16.375,120.125,45,12
342,16.375,120.375,45,13
343,16.375,122.375,45,21
344,16.625,120.125,46,12
345,16.625,122.375,46,21
346,16.625,122.625,46,22
347,16.875,120.125,47,12
348,16.875,120.375,47,13
349,16.875,122.625,47,22
350,17.125,120.375,48,13
351,17.125,122.625,48,22
352,17.375,120.375,49,13
353,17.375,122.375,49,21
354,17.375,122.625,49,22
355,17.625,120.375,50,13
356,17.625,122.375,50,21
357,17.875,120.375,51,13
358,17.875,122.375,51,21
359,18.125,120.375,52,13
360,18.125,122.375,52,21
361,18.375,120.375,53,13
362,18.375,120.625,53,14
363,18.375,121.625,53,18
364,18.375,121.875,53,19
365,18.375,122.125,53,20
366,18.375,122.375,53,21
367,18.625,120.625,54,14
368,18.625,120.875,54,15
369,18.625,121.125,54,16
370,18.625,121.375,54,17
371,18.625,121.625,54,18
